Causa de muerte;Sexo;Provincias;Periodo;Total
044  Diabetes mellitus;Total;48 Bizkaia;1989;190
044  Diabetes mellitus;Total;48 Bizkaia;1988;207
044  Diabetes mellitus;Total;48 Bizkaia;1987;166
044  Diabetes mellitus;Total;48 Bizkaia;1986;198
044  Diabetes mellitus;Total;48 Bizkaia;1985;163
044  Diabetes mellitus;Total;48 Bizkaia;1984;185
044  Diabetes mellitus;Total;48 Bizkaia;1983;193
044  Diabetes mellitus;Total;48 Bizkaia;1982;204
044  Diabetes mellitus;Total;48 Bizkaia;1981;176
044  Diabetes mellitus;Total;48 Bizkaia;1980;169
044  Diabetes mellitus;Total;09 Burgos;2022;141
044  Diabetes mellitus;Total;09 Burgos;2021;130
044  Diabetes mellitus;Total;09 Burgos;2020;122
044  Diabetes mellitus;Total;09 Burgos;2019;115
044  Diabetes mellitus;Total;09 Burgos;2018;103
044  Diabetes mellitus;Total;09 Burgos;2017;102
044  Diabetes mellitus;Total;09 Burgos;2016;101
044  Diabetes mellitus;Total;09 Burgos;2015;119
044  Diabetes mellitus;Total;09 Burgos;2014;117
044  Diabetes mellitus;Total;09 Burgos;2013;94
044  Diabetes mellitus;Total;09 Burgos;2012;109
044  Diabetes mellitus;Total;09 Burgos;2011;99
044  Diabetes mellitus;Total;09 Burgos;2010;82
044  Diabetes mellitus;Total;09 Burgos;2009;80
044  Diabetes mellitus;Total;09 Burgos;2008;100
044  Diabetes mellitus;Total;09 Burgos;2007;107
044  Diabetes mellitus;Total;09 Burgos;2006;79
