Diagnóstico principal (CIE9MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
249-250 Diabetes mellitus;Hombres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;236
249-250 Diabetes mellitus;Hombres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;933
249-250 Diabetes mellitus;Hombres;Total Nacional;11 Extremadura;;315
249-250 Diabetes mellitus;Hombres;Total Nacional;11 Extremadura;06 Badajoz;229
249-250 Diabetes mellitus;Hombres;Total Nacional;11 Extremadura;10 Cáceres;86
249-250 Diabetes mellitus;Hombres;Total Nacional;12 Galicia;;821
249-250 Diabetes mellitus;Hombres;Total Nacional;12 Galicia;15 Coruña, A;352
249-250 Diabetes mellitus;Hombres;Total Nacional;12 Galicia;27 Lugo;129
249-250 Diabetes mellitus;Hombres;Total Nacional;12 Galicia;32 Ourense;98
249-250 Diabetes mellitus;Hombres;Total Nacional;12 Galicia;36 Pontevedra;242
249-250 Diabetes mellitus;Hombres;Total Nacional;13 Madrid, Comunidad de;;1.582
249-250 Diabetes mellitus;Hombres;Total Nacional;14 Murcia, Región de;;647
249-250 Diabetes mellitus;Hombres;Total Nacional;15 Navarra, Comunidad Foral de;;246
249-250 Diabetes mellitus;Hombres;Total Nacional;16 País Vasco;;855
249-250 Diabetes mellitus;Hombres;Total Nacional;16 País Vasco;01 Araba/Álava;149
249-250 Diabetes mellitus;Hombres;Total Nacional;16 País Vasco;48 Bizkaia;378
249-250 Diabetes mellitus;Hombres;Total Nacional;16 País Vasco;20 Gipuzkoa;328
249-250 Diabetes mellitus;Hombres;Total Nacional;17 Rioja, La;;184
249-250 Diabetes mellitus;Hombres;Total Nacional;18 Ceuta;;50
249-250 Diabetes mellitus;Hombres;Total Nacional;19 Melilla;;55
249-250 Diabetes mellitus;Mujeres;Total Nacional;;;10.998
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;;1.478
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;04 Almería;120
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;11 Cádiz;263
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;14 Córdoba;147
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;18 Granada;189
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;21 Huelva;113
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;23 Jaén;100
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;29 Málaga;229
249-250 Diabetes mellitus;Mujeres;Total Nacional;01 Andalucía;41 Sevilla;317
249-250 Diabetes mellitus;Mujeres;Total Nacional;02 Aragón;;363
249-250 Diabetes mellitus;Mujeres;Total Nacional;02 Aragón;22 Huesca;53
249-250 Diabetes mellitus;Mujeres;Total Nacional;02 Aragón;44 Teruel;25
249-250 Diabetes mellitus;Mujeres;Total Nacional;02 Aragón;50 Zaragoza;285
249-250 Diabetes mellitus;Mujeres;Total Nacional;03 Asturias, Principado de;;346
249-250 Diabetes mellitus;Mujeres;Total Nacional;04 Balears, Illes;;320
249-250 Diabetes mellitus;Mujeres;Total Nacional;05 Canarias;;466
249-250 Diabetes mellitus;Mujeres;Total Nacional;05 Canarias;35 Palmas, Las;253
249-250 Diabetes mellitus;Mujeres;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;213
249-250 Diabetes mellitus;Mujeres;Total Nacional;06 Cantabria;;180
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;;771
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;05 Ávila;41
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;09 Burgos;117
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;24 León;153
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;34 Palencia;58
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;37 Salamanca;139
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;40 Segovia;28
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;42 Soria;17
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;47 Valladolid;145
249-250 Diabetes mellitus;Mujeres;Total Nacional;07 Castilla y León;49 Zamora;73
249-250 Diabetes mellitus;Mujeres;Total Nacional;08 Castilla - La Mancha;;419
249-250 Diabetes mellitus;Mujeres;Total Nacional;08 Castilla - La Mancha;02 Albacete;92
249-250 Diabetes mellitus;Mujeres;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;121
249-250 Diabetes mellitus;Mujeres;Total Nacional;08 Castilla - La Mancha;16 Cuenca;44
249-250 Diabetes mellitus;Mujeres;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;58
249-250 Diabetes mellitus;Mujeres;Total Nacional;08 Castilla - La Mancha;45 Toledo;104
249-250 Diabetes mellitus;Mujeres;Total Nacional;09 Cataluña;;1.884
249-250 Diabetes mellitus;Mujeres;Total Nacional;09 Cataluña;08 Barcelona;1.471
249-250 Diabetes mellitus;Mujeres;Total Nacional;09 Cataluña;17 Girona;154
249-250 Diabetes mellitus;Mujeres;Total Nacional;09 Cataluña;25 Lleida;72
249-250 Diabetes mellitus;Mujeres;Total Nacional;09 Cataluña;43 Tarragona;186
249-250 Diabetes mellitus;Mujeres;Total Nacional;10 Comunitat Valenciana;;1.349
249-250 Diabetes mellitus;Mujeres;Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;496
249-250 Diabetes mellitus;Mujeres;Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;165
